ArtistID,BiographyID,biographyTitle,biographyAuthorID,BiographyAuthorLabel,BiographyDate,BiographyAuthorGenre
Q468453,Q20078554,Большая советская энциклопедия,,,,
Q469934,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q469934,Q28487969,Concise Dictionary of Women Artists,,,,
Q4724,Q127157391,Искусство стран и народов мира,,,,
Q4724,Q15649499,Allgemeines Künstlerlexikon,,,,
Q4724,Q28666511,Московская энциклопедия  : Лица Москвы,,,,
Q4724,Q43231964,The Oxford Dictionary of Architecture,Q112575322,Susan Wilson,,female
Q4724,Q43231964,The Oxford Dictionary of Architecture,Q6143609,James Stevens Curl,,male
Q4724,Q64331210,Who's Who in the Twentieth Century,,,,
Q4889934,Q110308119,St. James Guide to Black Artists,,,,
Q4912103,Q123486506,"Billy Al Bengston, Painter Who Channeled California Cool, Dies at 88",Q61709803,Alex Williams,,male
Q4934184,Q110308119,St. James Guide to Black Artists,,,,
Q5194227,Q15649499,Allgemeines Künstlerlexikon,,,,
Q5214826,Q15649499,Allgemeines Künstlerlexikon,,,,
Q522662,Q123487236,"Carmen Herrera, Cuban-Born Artist Who Won Fame at 89, Dies at 106",Q7343324,Robert D. McFadden,,male
Q5342309,Q110308119,St. James Guide to Black Artists,,,,
Q535581,Q120147775,Women of Achievement in Maryland history,Q120163782,Carolyn B. Stegman,,female
Q535581,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q535581,Q28487969,Concise Dictionary of Women Artists,,,,
Q537838,Q108703831,Jean Fautrier’s Jolies Juives,,,,
Q538534,Q98281053,biografiA: Lexikon österreichischer Frauen,,,,
Q5431220,Q105958972,Notable Black American Women,Q47455946,Jessie Carney Smith,,female
Q5431220,Q110308119,St. James Guide to Black Artists,,,,
Q5431220,Q116742585,American women sculptors,Q19664972,Charlotte Streifer Rubinstein,,female
Q5431220,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q5431220,Q28487969,Concise Dictionary of Women Artists,,,,
Q5431220,Q28927781,Great Women Masters of Art,,,,
Q5431220,Q28927781,"Grote meesters van de westerse schilderkunst, Schilderessen",,,,
Q5461886,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q5461886,Q28487969,Concise Dictionary of Women Artists,,,,
Q5550901,Q110308119,St. James Guide to Black Artists,,,,
Q5553319,Q116742585,American women sculptors,Q19664972,Charlotte Streifer Rubinstein,,female
Q5553319,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q5568956,Q110308119,St. James Guide to Black Artists,,,,
Q5577,Q17329836,Encyclopédie Larousse en ligne,,,,
Q5577,Q17378135,Большая советская энциклопедия,,,,
Q5582,Q17329836,Encyclopédie Larousse en ligne,,,,
Q5582,Q17378135,Большая советская энциклопедия,,,,
Q558505,Q123552327,"Richard Anuszkiewicz, Whose Op Art Caught Eyes in the ’60s, Dies at 89",,,,
Q5588,Q124097894,Wegbereiterinnen,Q6526589,Gisela Notz,,female
Q5588,Q17329836,Encyclopédie Larousse en ligne,,,,
Q5588,Q28487969,Concise Dictionary of Women Artists,,,,
Q5588,Q28927781,Great Women Masters of Art,,,,
Q5588,Q28927781,"Grote meesters van de westerse schilderkunst, Schilderessen",,,,
Q5589,Q127157391,Искусство стран и народов мира,,,,
Q5589,Q17329836,Encyclopédie Larousse en ligne,,,,
Q5589,Q20078554,Большая советская энциклопедия,,,,
Q5593,Q127157391,Искусство стран и народов мира,,,,
Q5593,Q17329836,Encyclopédie Larousse en ligne,,,,
Q5593,Q17378135,Большая советская энциклопедия,,,,
Q5769118,Q117272481,"Indiana Authors and their Books, 1917-1966",,,,
Q5921354,Q110308119,St. James Guide to Black Artists,,,,
Q5921354,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q5967377,Q10685690,Svenskt konstnärslexikon,,,,
Q5968073,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q5968073,Q28487969,Concise Dictionary of Women Artists,,,,
Q610532,Q106707729,Русские писатели 1800—1917: Биографический словарь (русский),,,,
Q610532,Q108611244,Литераторы Санкт-Петербурга. ХХ век,,,,
Q610532,Q124510026,"Русская литература XX века. Прозаики, поэты, драматурги",,,,
Q610532,Q28666511,Московская энциклопедия  : Лица Москвы,,,,
Q61064,Q126953276,Искусство стран и народов мира,,,,
Q61064,Q17378135,Большая советская энциклопедия,,,,
Q61064,Q20078554,Большая советская энциклопедия,,,,
Q61064,Q28666511,Московская энциклопедия  : Лица Москвы,,,,
Q6115781,Q110308119,St. James Guide to Black Artists,,,,
Q6115904,Q123551604,"Jack Youngerman, Distinctively Abstract Artist, Dies at 93",Q8010229,William Grimes,,male
Q6152947,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q6153610,Q123521957,"Overlooked No More: Janet Sobel, Whose Art Influenced Jackson Pollock",,,,
Q61594,Q18915568,Lexikon deutschsprachiger Epik und Dramatik von Autorinnen 1730–1900,,,,
Q61594,Q28487969,Concise Dictionary of Women Artists,,,,
Q6178106,Q103891890,"Bartlett, Jennifer",,,,
Q6178106,Q103945336,"Bartlett, Jennifer",,,,
Q6178106,Q123487159,"Jennifer Bartlett, Conceptual Painter on Vast Scale, Is Dead at 81",Q7351542,Roberta Smith,,female
Q6178106,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q6204894,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q6205466,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q6205466,Q28487969,Concise Dictionary of Women Artists,,,,
Q640936,Q123559282,"Robert Ryman, Minimalist Painter Who Made the Most of White, Dies at 88",Q7351542,Roberta Smith,,female
Q6760826,Q116742585,American women sculptors,Q19664972,Charlotte Streifer Rubinstein,,female
Q6760826,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q6760826,Q28487969,Concise Dictionary of Women Artists,,,,
Q6837258,Q116742585,American women sculptors,Q19664972,Charlotte Streifer Rubinstein,,female
Q6837258,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q695239,Q17378135,Большая советская энциклопедия,,,,
Q698275,Q123521938,"Wayne Thiebaud, Playful Painter of the Everyday, Dies at 101",,,,
Q698306,Q119948431,Schaffhauser Kantonsgeschichte des 19. und 20. Jahrhunderts,,,,
Q703369,Q15987490,The Enciclopædia Britannica,,,,
Q7052490,Q110308119,St. James Guide to Black Artists,,,,
Q706359,Q20078554,Большая советская энциклопедия,,,,
Q708763,Q123487172,"Philip Pearlstein, Whose Realist Nudes Revived Portraiture, Dies at 98",Q8010229,William Grimes,,male
Q711903,Q20078554,Большая советская энциклопедия,,,,
Q7144042,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q726169,Q117266911,"Indiana Authors and their Books, 1967-1980",,,,
Q7363836,Q123552374,"Ron Gorchov, Painter Who Challenged Viewers’ Perceptions, Dies at 90",Q7351542,Roberta Smith,,female
Q738892,Q20078554,Большая советская энциклопедия,,,,
Q7660986,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q7668165,Q104388519,American Indian Painters,Q104388570,Jeanne Snodgrass King,,female
Q7793969,Q110308119,St. James Guide to Black Artists,,,,
Q7804189,Q123567613,Tim Rollins Dies at 62; Turned Bronx Teenagers Into Art Stars,Q7351542,Roberta Smith,,female
Q8019143,Q110308119,St. James Guide to Black Artists,,,,
Q8062463,Q123906428,"American Women Artists, Past and Present",Q19766231,Eleanor Tufts,,female
Q82445,Q127157391,Искусство стран и народов мира,,,,
Q82445,Q4532138,Энциклопедический словарь Гранат,,,,
Q832432,Q110308119,St. James Guide to Black Artists,,,,
Q93284,Q127157391,Искусство стран и народов мира,,,,
Q93284,Q17378135,Большая советская энциклопедия,,,,
Q972080,Q17378135,Большая советская энциклопедия,,,,
