artiste,artisteLabel,image,imageLabel
http://www.wikidata.org/entity/Q1359250,Ernst Lichtblau,http://commons.wikimedia.org/wiki/Special:FilePath/Ernst%20Lichtblau%20%281883%E2%80%931963%29%201930%20%C2%A9%20Georg%20Fayer%20%281891%E2%80%931950%29%20OeNB%2018146070.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Ernst%20Lichtblau%20%281883%E2%80%931963%29%201930%20%C2%A9%20Georg%20Fayer%20%281891%E2%80%931950%29%20OeNB%2018146070.jpg
http://www.wikidata.org/entity/Q1252327,Douglas Gordon,http://commons.wikimedia.org/wiki/Special:FilePath/Oliver%20Mark%20-%20Douglas%20Gordon%2C%20Berlin%202012.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Oliver%20Mark%20-%20Douglas%20Gordon%2C%20Berlin%202012.jpg
http://www.wikidata.org/entity/Q1361200,John Lee Hancock,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Hancock%20and%20Dog%20%28cropped%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Hancock%20and%20Dog%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q1362480,Yury Annenkov,http://commons.wikimedia.org/wiki/Special:FilePath/Yuri%20Annenkov%20%28self-portrait%2C%201910%20GRM%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Yuri%20Annenkov%20%28self-portrait%2C%201910%20GRM%29.jpg
http://www.wikidata.org/entity/Q1293014,Sylvia Plachy,http://commons.wikimedia.org/wiki/Special:FilePath/Plachy%20press%20photo.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Plachy%20press%20photo.jpg
http://www.wikidata.org/entity/Q1246260,Dorothea Rockburne,http://commons.wikimedia.org/wiki/Special:FilePath/Dorothea%20Rockburne.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Dorothea%20Rockburne.jpg
http://www.wikidata.org/entity/Q1285270,Mark Wallinger,http://commons.wikimedia.org/wiki/Special:FilePath/MarkWallinger.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/MarkWallinger.jpg
http://www.wikidata.org/entity/Q1364377,Wladimir Burliuk,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%91%D1%83%D1%80%D0%BB%D1%8E%D0%BA%20%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%20%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%91%D1%83%D1%80%D0%BB%D1%8E%D0%BA%20%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%20%D0%94%D0%B0%D0%B2%D0%B8%D0%B4%D0%BE%D0%B2%D0%B8%D1%87.jpg
http://www.wikidata.org/entity/Q1363990,Joe Tilson,http://commons.wikimedia.org/wiki/Special:FilePath/Enzo%20Di%20Martino%20e%20Joe%20Tilson.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Enzo%20Di%20Martino%20e%20Joe%20Tilson.jpg
http://www.wikidata.org/entity/Q1318940,Georges Noël,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20No%C3%ABl%20dans%20son%20atelier%201990.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20No%C3%ABl%20dans%20son%20atelier%201990.jpg
http://www.wikidata.org/entity/Q1336253,Phil Donahue,http://commons.wikimedia.org/wiki/Special:FilePath/Phil%20Donahue%20at%20the%20Toronto%20International%20Film%20Festival.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Phil%20Donahue%20at%20the%20Toronto%20International%20Film%20Festival.jpg
http://www.wikidata.org/entity/Q1288454,Vik Muniz,http://commons.wikimedia.org/wiki/Special:FilePath/Visita%20-%20Artista%20Pl%C3%A1stico%20Vik%20Muniz%20%2853515588190%29%20%28cropped%29.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Visita%20-%20Artista%20Pl%C3%A1stico%20Vik%20Muniz%20%2853515588190%29%20%28cropped%29.jpg
http://www.wikidata.org/entity/Q1341721,Gustavs Klucis,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klutsis-1915.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Gustav%20Klutsis-1915.jpg
http://www.wikidata.org/entity/Q1294110,Edward William Godwin,http://commons.wikimedia.org/wiki/Special:FilePath/Edward%20William%20Godwin%201833-1886.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Edward%20William%20Godwin%201833-1886.jpg
http://www.wikidata.org/entity/Q1355414,Robert Cottingham,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Cottingham.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Cottingham.jpg
http://www.wikidata.org/entity/Q1346343,Louis Marcoussis,http://commons.wikimedia.org/wiki/Special:FilePath/Lous%20Marcoussis%2C%20Selbstportr%C3%A4t%2C%201936.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Lous%20Marcoussis%2C%20Selbstportr%C3%A4t%2C%201936.jpg
http://www.wikidata.org/entity/Q1332698,Shepard Fairey,http://commons.wikimedia.org/wiki/Special:FilePath/Shepard-fairey-2011-westhollywood.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Shepard-fairey-2011-westhollywood.jpg
http://www.wikidata.org/entity/Q1314250,Robert Shaye,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Shaye%20portrait.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Robert%20Shaye%20portrait.jpg
http://www.wikidata.org/entity/Q1261996,Jindřich Štyrský,http://commons.wikimedia.org/wiki/Special:FilePath/Styrsky1930.jpg,http://commons.wikimedia.org/wiki/Special:FilePath/Styrsky1930.jpg
